Date,Close,Open,High,Low,Volume
2019-01-02,4500.0,4500.0,4500.0,4500.0,1000000
2019-01-03,4522.352136885505,4522.352136885505,4522.352136885505,4522.352136885505,1000000
2019-01-04,4516.099338306941,4516.099338306941,4516.099338306941,4516.099338306941,1000000
2019-01-07,4545.349596090396,4545.349596090396,4545.349596090396,4545.349596090396,1000000
2019-01-08,4614.5766275169735,4614.5766275169735,4614.5766275169735,4614.5766275169735,1000000
2019-01-09,4603.771440614449,4603.771440614449,4603.771440614449,4603.771440614449,1000000
2019-01-10,4592.992310258498,4592.992310258498,4592.992310258498,4592.992310258498,1000000
2019-01-11,4665.525433437369,4665.525433437369,4665.525433437369,4665.525433437369,1000000
2019-01-14,4701.33029591103,4701.33029591103,4701.33029591103,4701.33029591103,1000000
2019-01-15,4679.258754373527,4679.258754373527,4679.258754373527,4679.258754373527,1000000
2019-01-16,4704.646542710757,4704.646542710757,4704.646542710757,4704.646542710757,1000000
2019-01-17,4682.844378247545,4682.844378247545,4682.844378247545,4682.844378247545,1000000
2019-01-18,4661.034978664655,4661.034978664655,4661.034978664655,4661.034978664655,1000000
2019-01-21,4672.312924777519,4672.312924777519,4672.312924777519,4672.312924777519,1000000
2019-01-22,4582.918484619157,4582.918484619157,4582.918484619157,4582.918484619157,1000000
2019-01-23,4503.866906428426,4503.866906428426,4503.866906428426,4503.866906428426,1000000
2019-01-24,4478.542224479967,4478.542224479967,4478.542224479967,4478.542224479967,1000000
2019-01-25,4433.182155093117,4433.182155093117,4433.182155093117,4433.182155093117,1000000
2019-01-28,4447.113311764587,4447.113311764587,4447.113311764587,4447.113311764587,1000000
2019-01-29,4406.732452228056,4406.732452228056,4406.732452228056,4406.732452228056,1000000
2019-01-30,4344.496006697295,4344.496006697295,4344.496006697295,4344.496006697295,1000000
2019-01-31,4408.1710589353,4408.1710589353,4408.1710589353,4408.1710589353,1000000
2019-02-01,4398.218453399318,4398.218453399318,4398.218453399318,4398.218453399318,1000000
2019-02-11,4401.188491359151,4401.188491359151,4401.188491359151,4401.188491359151,1000000
2019-02-12,4338.482638156676,4338.482638156676,4338.482638156676,4338.482638156676,1000000
2019-02-13,4314.864688168027,4314.864688168027,4314.864688168027,4314.864688168027,1000000
2019-02-14,4319.65084782262,4319.65084782262,4319.65084782262,4319.65084782262,1000000
2019-02-15,4269.931943997113,4269.931943997113,4269.931943997113,4269.931943997113,1000000
2019-02-18,4285.973993695419,4285.973993695419,4285.973993695419,4285.973993695419,1000000
2019-02-19,4260.2307756494265,4260.2307756494265,4260.2307756494265,4260.2307756494265,1000000
2019-02-20,4247.803948750087,4247.803948750087,4247.803948750087,4247.803948750087,1000000
2019-02-21,4222.244631515917,4222.244631515917,4222.244631515917,4222.244631515917,1000000
2019-02-22,4300.452347722086,4300.452347722086,4300.452347722086,4300.452347722086,1000000
2019-02-25,4299.871906003967,4299.871906003967,4299.871906003967,4299.871906003967,1000000
2019-02-26,4254.391690923058,4254.391690923058,4254.391690923058,4254.391690923058,1000000
